user_id,age,employment_type,monthly_income,credit_score,purchase_amount,product_category,bnpl_installments,repayment_delay_days,missed_payments,default_flag,app_usage_frequency,location,transaction_date,debt_to_income_ratio,risk_score,customer_segment
1,56,Salaried,68529.5,552,5000,Electronics,12,13,1,0,8.49,Australia,6/10/2023,0.072961279,165.2,Medium Risk
2,19,Student,7247.85,300,1073.23,Fashion,12,13,1,0,3.09,USA,10/7/2024,0.148075636,266,High Risk
3,20,Self-Employed,41582.26,471,5000,Electronics,3,19,2,0,3.33,Australia,4/5/2023,0.120243585,229.6,High Risk
4,21,Salaried,14423.46,300,4076.83,Sports,6,18,5,1,5.86,Germany,6/24/2023,0.282652706,356,High Risk
5,43,Salaried,42845.5,512,5000,Electronics,9,0,0,0,7.36,India,10/19/2024,0.11669837,135.2,High Risk
6,52,Self-Employed,79950.32,729,5000,Fashion,9,1,0,0,6.32,Canada,8/29/2024,0.062538837,50.4,Low Risk
7,44,Salaried,43192.27,511,5000,Sports,3,2,0,0,5.58,USA,8/21/2024,0.115761455,139.6,High Risk
8,54,Unemployed,9434.8,369,1686.24,Fashion,3,0,0,1,3.66,Germany,11/17/2024,0.178725569,192.4,High Risk
9,45,Student,14821.44,306,3628.68,Electronics,9,20,2,1,2.48,USA,11/14/2024,0.244826414,297.6,High Risk
10,54,Unemployed,6737.92,318,100,Home,6,4,0,0,9.66,UK,6/9/2023,0.014841375,220.8,High Risk
11,19,Self-Employed,46828.63,571,4028.58,Fashion,6,2,0,0,3.18,UK,5/11/2023,0.086028141,115.6,Medium Risk
12,28,Salaried,39976.3,481,5000,Electronics,12,15,2,0,1.37,Germany,11/3/2024,0.125074106,217.6,High Risk
13,53,Salaried,71683.56,630,5000,Home,6,0,0,0,7.26,UK,7/11/2024,0.069751,88,Medium Risk
14,33,Student,13389.69,372,1124.65,Electronics,12,4,0,0,8.62,Australia,10/30/2024,0.08399373,199.2,High Risk
15,50,Unemployed,13114.82,370,1540.62,Sports,3,4,0,0,1.16,India,6/27/2023,0.117471685,200,High Risk
16,37,Unemployed,15372.67,380,1571.31,Electronics,6,15,1,0,4.54,Canada,7/10/2024,0.102214514,238,High Risk
17,44,Student,6381.74,385,1884.67,Sports,6,11,1,0,4.33,UK,8/10/2024,0.295322279,228,High Risk
18,54,Self-Employed,61140.91,599,5000,Electronics,9,9,1,0,8.6,India,5/12/2023,0.081778305,138.4,Medium Risk
19,57,Self-Employed,47350.52,550,5000,Home,12,0,0,0,9.22,India,5/22/2023,0.105595461,120,High Risk
20,53,Self-Employed,94896.04,764,5000,Electronics,6,10,1,0,3.95,Germany,9/26/2024,0.052689238,74.4,Low Risk
21,39,Student,12927.34,300,4297.94,Beauty,9,14,2,0,2.25,Australia,11/7/2024,0.332469015,288,High Risk
22,30,Student,11742,345,5000,Fashion,6,0,0,0,2.41,UK,6/14/2023,0.425821836,202,High Risk
23,49,Student,28592.73,307,5000,Fashion,6,22,3,0,1.83,Australia,2/12/2023,0.174869626,321.2,High Risk
24,47,Student,13753.98,336,3605.12,Electronics,6,5,1,0,9.54,Canada,12/21/2024,0.262114675,235.6,High Risk
25,51,Self-Employed,81933,607,5000,Sports,9,12,4,1,9.47,Australia,5/12/2023,0.061025472,201.2,Medium Risk
26,18,Self-Employed,39086.29,450,5000,Fashion,3,16,1,0,4.14,Germany,1/15/2023,0.127922092,212,High Risk
27,46,Unemployed,9571.78,366,3629.56,Home,9,10,1,0,9.38,Australia,2/22/2023,0.379193839,233.6,High Risk
28,29,Self-Employed,51841.69,477,5000,Home,3,20,3,0,8.62,India,7/9/2024,0.096447473,249.2,High Risk
29,24,Self-Employed,5000,331,896.45,Electronics,12,0,0,1,8.11,UK,12/12/2024,0.17929,207.6,High Risk
30,59,Unemployed,20705.6,376,4641.86,Home,6,5,1,1,1.73,India,10/17/2024,0.224183796,219.6,High Risk
31,55,Self-Employed,104642.67,832,5000,Sports,9,3,0,0,3.28,Australia,8/1/2024,0.047781655,13.2,Low Risk
32,45,Student,17040.37,341,3708.18,Fashion,3,1,2,0,3.01,Australia,11/17/2024,0.217611472,245.6,High Risk
33,49,Unemployed,14875.65,330,3221.66,Beauty,9,7,1,1,3.53,Australia,8/19/2024,0.216572721,242,High Risk
34,33,Self-Employed,9556.27,371,100,Fashion,12,0,0,0,4.24,UK,8/15/2024,0.010464334,191.6,High Risk
35,44,Self-Employed,58154.31,521,5000,Fashion,3,17,1,1,4.39,Australia,6/22/2023,0.08597815,185.6,High Risk
36,42,Unemployed,15184.95,357,5000,Sports,6,2,0,1,9.22,Germany,3/8/2023,0.329273392,201.2,High Risk
37,54,Unemployed,15901.71,354,2537.33,Home,6,2,0,1,4.22,USA,1/18/2023,0.159563343,202.4,High Risk
38,56,Self-Employed,74756.68,660,5000,Sports,9,18,2,0,4.78,Germany,8/14/2024,0.066883655,152,Medium Risk
39,38,Salaried,53501.99,485,5000,Electronics,6,5,3,1,6.6,India,2/8/2023,0.093454468,216,High Risk
40,34,Student,54372.3,461,5000,Fashion,3,17,2,0,5.14,Australia,4/29/2023,0.091958589,229.6,High Risk
41,48,Unemployed,8097.81,324,2447.64,Sports,6,5,1,1,3.51,India,5/18/2023,0.3022595,240.4,High Risk
42,39,Unemployed,5000,300,1885.94,Beauty,6,18,1,0,2.41,Canada,2/11/2023,0.377188,276,High Risk
43,34,Unemployed,7518.55,329,100,Sports,3,0,0,0,1.56,UK,9/25/2024,0.013300437,208.4,High Risk
44,24,Salaried,39945.89,496,5000,Electronics,3,14,1,0,2.9,Australia,11/25/2024,0.125169323,189.6,High Risk
45,42,Student,19309.34,437,5000,Home,3,9,1,0,4.04,India,10/2/2024,0.258942046,203.2,High Risk
46,43,Student,27492.23,406,5000,Beauty,6,5,1,0,2.68,USA,5/17/2023,0.181869568,207.6,High Risk
47,47,Unemployed,8011.44,351,2301.4,Electronics,12,2,0,0,7.51,Australia,1/28/2023,0.287264212,203.6,High Risk
48,19,Student,11457.52,334,2125.5,Sports,3,0,0,0,5.77,USA,3/30/2023,0.18551135,206.4,High Risk
49,43,Salaried,73756.54,616,5000,Home,6,6,0,0,3.9,Australia,11/21/2024,0.067790599,105.6,Medium Risk
50,37,Self-Employed,70596.08,666,5000,Fashion,12,10,1,0,4.68,UK,11/14/2024,0.070825462,113.6,Medium Risk
51,51,Self-Employed,74729.51,634,5000,Sports,12,14,1,0,3.85,Canada,2/17/2023,0.066907972,134.4,Medium Risk
52,42,Salaried,94326.34,750,5000,Sports,9,4,1,0,4.46,UK,5/26/2023,0.053007463,68,Low Risk
53,57,Unemployed,5000,300,2290.8,Electronics,3,16,2,1,3.81,India,6/15/2023,0.45816,292,High Risk
54,21,Student,16040.61,375,5000,Home,9,9,1,0,4.68,USA,10/9/2024,0.311708844,228,High Risk
55,19,Salaried,52914.72,462,4347.97,Fashion,12,20,3,1,5.55,Canada,12/10/2024,0.082169385,255.2,High Risk
56,57,Salaried,70624.94,666,5000,Electronics,3,4,0,0,1.94,Australia,6/7/2023,0.07079652,81.6,Medium Risk
